job_title,job_url,job_id,employer,rating,location,salary,posting_age,scraped_at,posting_date_estimated,posting_date_precision
Entry-level Software Developer,"https://www.glassdoor.com/job-listing/entry-level-software-developer-ixrf-systems-JV_IC1139761_KO0,30_KE31,43.htm?jl=1010232358802",1010232358802,IXRF Systems,None,"Austin, TX",$80K (Employer provided),24d,2026-09-10T20:32:30Z,2026-08-17,estimated
"Member of Technical Staff, Frontend","https://www.glassdoor.com/job-listing/member-of-technical-staff-frontend-pear-ca-JV_IC1139761_KO0,34_KE35,42.htm?jl=1010009968197",1010009968197,Pear (CA),4.8,"Austin, TX",$161K - $230K (Glassdoor est.),30d+,2026-09-10T20:32:30Z,2026-08-11,lower_bound
Product Engineer (Backend) - Resiquant AI,"https://www.glassdoor.com/job-listing/product-engineer-backend-resiquant-ai-pear-ca-JV_IC1139761_KO0,37_KE38,45.htm?jl=1009868515910",1009868515910,Pear (CA),4.8,"Austin, TX",$93K - $167K (Glassdoor est.),30d+,2026-09-10T20:32:30Z,2026-08-11,lower_bound
API Engineering Lead,"https://www.glassdoor.com/job-listing/api-engineering-lead-travelstride-JV_IC1139761_KO0,20_KE21,33.htm?jl=1008985678700",1008985678700,Travelstride,4.7,"Austin, TX",$135K - $200K (Glassdoor est.),30d+,2026-09-10T20:32:30Z,2026-08-11,lower_bound
Computer Programmers,"https://www.glassdoor.com/job-listing/computer-programmers-vignesh-technological-solutions-JV_IC1139761_KO0,20_KE21,52.htm?jl=1008251600171",1008251600171,Vignesh Technological Solutions,4.5,"Austin, TX",$73K (Employer provided),30d+,2026-09-10T20:32:30Z,2026-08-11,lower_bound
Multimedia Content Developer,"https://www.glassdoor.com/job-listing/multimedia-content-developer-asphalt-pavement-exchange-JV_IC1139763_KO0,28_KE29,54.htm?jl=1010252227366",1010252227366,Asphalt Pavement Exchange,None,"Buda, TX",$64K - $68K (Employer provided),7d,2026-09-10T20:32:30Z,2026-09-03,estimated
Software Engineer Analyst - AI Trainer,"https://www.glassdoor.com/job-listing/software-engineer-analyst-ai-trainer-dataannotation-JV_IC1139784_KO0,36_KE37,51.htm?jl=1010165570343",1010165570343,DataAnnotation,4,"Manor, TX",$50.00 - $100.00 Per Hour (Employer provided),30d+,2026-09-10T20:32:30Z,2026-08-11,lower_bound
Software Development Engineer - Silicon Development Infrastructure,"https://www.glassdoor.com/job-listing/software-development-engineer-silicon-development-infrastructure-amazon-web-services-JV_IC1139761_KO0,64_KE65,84.htm?jl=1010259173280",1010259173280,Amazon Web Services,3.6,"Austin, TX",$144K - $194K (Employer provided),24h,2026-09-10T20:32:30Z,2026-09-09,estimated
"Software Development Engineer , Annapurna ML","https://www.glassdoor.com/job-listing/software-development-engineer-annapurna-ml-amazon-web-services-JV_IC1139761_KO0,42_KE43,62.htm?jl=1010259173296",1010259173296,Amazon Web Services,3.6,"Austin, TX",$144K - $194K (Employer provided),24h,2026-09-10T20:32:30Z,2026-09-09,estimated
"Runtime/Driver Software Development Engineer, Neuron Runtime","https://www.glassdoor.com/job-listing/runtime-driver-software-development-engineer-neuron-runtime-amazon-web-services-JV_IC1139761_KO0,59_KE60,79.htm?jl=1010259173274",1010259173274,Amazon Web Services,3.6,"Austin, TX",$144K - $194K (Employer provided),24h,2026-09-10T20:32:30Z,2026-09-09,estimated
"Sr Software Engineer, Graviton Software, Annapurna Labs","https://www.glassdoor.com/job-listing/sr-software-engineer-graviton-software-annapurna-labs-amazon-web-services-JV_IC1139761_KO0,53_KE54,73.htm?jl=1010259173278",1010259173278,Amazon Web Services,3.6,"Austin, TX",$168K - $227K (Employer provided),24h,2026-09-10T20:32:30Z,2026-09-09,estimated
"UI & Mobile Developer - Local to Austin , TX - W2 Only","https://www.glassdoor.com/job-listing/ui-mobile-developer-local-to-austin-tx-w2-only-digital-itechnology-JV_IC1139761_KO0,46_KE47,66.htm?jl=1010061435365",1010061435365,Digital iTechnology,3.9,"Austin, TX",$35.00 - $40.00 Per Hour (Employer provided),30d+,2026-09-10T20:32:30Z,2026-08-11,lower_bound
Senior Software Developer (6+ Years Software Development Exp. Req.),"https://www.glassdoor.com/job-listing/senior-software-developer-6-years-software-development-exp-req-weinfuse-JV_IC1139761_KO0,62_KE63,71.htm?jl=1009736449511",1009736449511,WeInfuse,4.6,"Austin, TX",$120K - $140K (Employer provided),30d+,2026-09-10T20:32:30Z,2026-08-11,lower_bound
Machine Learning Engineer - AI Trainer,"https://www.glassdoor.com/job-listing/machine-learning-engineer-ai-trainer-dataannotation-JV_KO0,36_KE37,51.htm?jl=1010230855718",1010230855718,DataAnnotation,4,Texas,$50.00 - $100.00 Per Hour (Employer provided),26d,2026-09-10T20:32:30Z,2026-08-15,estimated
Staff Software Engineer - AI Trainer,"https://www.glassdoor.com/job-listing/staff-software-engineer-ai-trainer-dataannotation-JV_KO0,34_KE35,49.htm?jl=1010165571688",1010165571688,DataAnnotation,4,Texas,$50.00 - $100.00 Per Hour (Employer provided),30d+,2026-09-10T20:32:30Z,2026-08-11,lower_bound
Cloud Engineer,"https://www.glassdoor.com/job-listing/cloud-engineer-addison-group-JV_IC1139761_KO0,14_KE15,28.htm?jl=1010096996911",1010096996911,Addison Group,4.2,"Austin, TX",$75.00 - $95.00 Per Hour (Employer provided),30d+,2026-09-10T20:32:30Z,2026-08-11,lower_bound
Lead Full Stack Application Developer,"https://www.glassdoor.com/job-listing/lead-full-stack-application-developer-nesco-resource-JV_IC1139761_KO0,37_KE38,52.htm?jl=1010233680539",1010233680539,Nesco Resource,3.4,"Austin, TX",$65.00 - $69.90 Per Hour (Employer provided),23d,2026-09-10T20:32:30Z,2026-08-18,estimated
Experienced DevOps Engineer,"https://www.glassdoor.com/job-listing/experienced-devops-engineer-lutron-JV_IC1139761_KO0,27_KE28,34.htm?jl=1010206647420",1010206647420,Lutron Electronics,3.7,"Austin, TX",$132K - $181K (Glassdoor est.),30d+,2026-09-10T20:32:30Z,2026-08-11,lower_bound
Software Engineer - AI Research Clusters,"https://www.glassdoor.com/job-listing/software-engineer-ai-research-clusters-nvidia-JV_IC1139761_KO0,38_KE39,45.htm?jl=1010132628332",1010132628332,NVIDIA,4.6,"Austin, TX",$124K - $196K (Employer provided),30d+,2026-09-10T20:32:30Z,2026-08-11,lower_bound
Senior Software Engineer - Python,"https://www.glassdoor.com/job-listing/senior-software-engineer-python-paypal-JV_IC1139761_KO0,31_KE32,38.htm?jl=1010095843935",1010095843935,PayPal,3.6,"Austin, TX",$131K - $213K (Employer provided),30d+,2026-09-10T20:32:30Z,2026-08-11,lower_bound
Staff Software Engineer - BE Python,"https://www.glassdoor.com/job-listing/staff-software-engineer-be-python-paypal-JV_IC1139761_KO0,33_KE34,40.htm?jl=1010095844089",1010095844089,PayPal,3.6,"Austin, TX",$161K - $262K (Employer provided),30d+,2026-09-10T20:32:30Z,2026-08-11,lower_bound
