contractor_name,name_type,license_number,city,status
smith jay r,previous,1018539,berkeley,active
smith & breckenridge inc dba custom builders & design,print,409392,yorba linda,active
smith & company flooring dba c smith floorcovering,print,963795,spring valley,active
smith & sons construction,print,817526,chico,expired
smith builders,print,543574,homeland,expired
smith construction dba h l smith construction,print,619514,bakersfield,expired
smith electric company,print,653813,garden valley,cancelled
smith industries inc dba jay r smith industries inc,print,757045,montgomery,expired
smith l a,print,302677,lake arrowhead,expired
smith m swain,print,748707,anaheim,active
smith plumbing,print,301212,modesto,expired
smith plumbing service,print,1111665,novato,inactive
smith robert,print,346636,ventura,expired
smith tile and marble,print,657495,santee,expired
smith trim & construction co,print,528514,clayton,expired
smith world enterprises inc d k 1 tile & stone,print,895151,mission viejo,cancelled
smith + eastwood construction,dba,847269,san clemente,suspended
smith & armani construction,previous,513648,los angeles,active
smith & associates,dba,303271,valley center,cancelled
smith & associates,dba,518396,san diego,expired
smith & associates,dba,704748,grass valley,expired
smith & associates,previous,704748,grass valley,expired
smith & associates,previous,708889,anderson,expired
smith & bernal roofing,dba,727021,walnut creek,active
smith & breazeale,dba,306457,cloverdale,expired
smith & breazeale inc,dba,401146,cloverdale,expired
smith & breckenridge inc,name,409392,yorba linda,active
smith & butler construction inc,dba,844090,carlsbad,cancelled
smith & co,dba,564436,gualala,expired
smith & cochran inc,dba,532276,benicia,expired
smith & company,dba,675166,carlsbad,expired
smith & company,previous,774563,pacheco,expired
smith & company flooring,name,963795,spring valley,active
smith & company remodeling incorporated,dba,774563,pacheco,expired
smith & conner floor covering inc,dba,467258,san francisco,expired
smith & de masters specialty repairs & acoustics,dba,356289,porterville,cancelled
smith & denison engineers and contractors,dba,322548,hayward,cancelled
smith & denison inc,dba,466196,hayward,expired
smith & ellis construction,dba,816663,marysville,expired
smith & enright landscaping,dba,490635,salinas,cancelled
smith & gonzales inc,dba,290054,glendora,expired
smith & green corp,dba,517517,phoenix,expired
smith & green corp,dba,789334,phoenix,expired
smith & gysbers,dba,591398,san lorenzo,expired
smith & gysbers inc,dba,597218,san leandro,cancelled
smith & hazlip construction inc,dba,339582,woodland,expired
smith & hinckley inc,name,679013,davis,active
smith & hinckley inc,previous,679013,davis,active
smith & jacobson masonry,dba,472016,santa cruz,expired
,,,None,
