name,place_url,place_id,category,address,phone,phone_unformatted,website,rating,reviews_count,opening_hours_today,plus_code,latitude,longitude
Ken Muncy Air Conditioning,https://www.google.com/maps/place/Ken+Muncy+Air+Conditioning/data=!4m7!3m6!1s0x872baecd59e7ddcb:0x27e4782f03fde181!8m2!3d33.336571!4d-111.834342!16s%2Fg%2F1v42g8d3!19sChIJy93nWc2uK4cRgeH9Ay945Cc?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOC4wIJJjKgBIAVAD&rclk=1,0x872baecd59e7ddcb:0x27e4782f03fde181,Air conditioning contractor,"450 E Warner Rd Ste 6, Chandler, AZ 85225",(480) 210-9071,+14802109071,https://www.kenmuncy.com/,5,317,"Thursday, 7 AM–5 PM","85P8+J7 Chandler, Arizona",33.336571,-111.834342
Parker & Sons,https://www.google.com/maps/place/Parker+%26+Sons/data=!4m7!3m6!1s0x872b0faad068d687:0xcb13480c28213ccd!8m2!3d33.4139155!4d-112.0022947!16s%2Fg%2F1td4_9w8!19sChIJh9Zo0KoPK4cRzTwhKAxIE8s?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOC4wIJJjKgBIAVAD&rclk=1,0x872b0faad068d687:0xcb13480c28213ccd,HVAC contractor,"3636 E Anne St A, Phoenix, AZ 85040",(602) 424-9619,+16024249619,https://www.parkerandsons.com/?utm_campaign=gmb_pk-phx_home_cus-all_googlebusinessprofile&utm_medium=gmb&utm_source=google,4.7,34933,"Thursday, Open 24 hours","CX7X+H3 Phoenix, Arizona",33.4139155,-112.0022947
"Day & Night Air Conditioning, Heating, & Plumbing","https://www.google.com/maps/place/Day+%26+Night+Air+Conditioning,+Heating,+%26+Plumbing/data=!4m7!3m6!1s0x872b0d778d2ea099:0x6cbc97b43bd00584!8m2!3d33.3966358!4d-112.0011526!16s%2Fg%2F1th1d5fw!19sChIJmaAujXcNK4cRhAXQO7SXvGw?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOC4wIJJjKgBIAVAD&rclk=1",0x872b0d778d2ea099:0x6cbc97b43bd00584,HVAC contractor,"3669 E La Salle St, Phoenix, AZ 85040",(602) 584-7758,+16025847758,https://www.dayandnightair.com/?utm_source=gmb&utm_medium=local&utm_campaign=phoenix-az,4.9,9773,"Thursday, Open 24 hours","9XWX+MG Phoenix, Arizona",33.3966358,-112.0011526
Goettl Air Conditioning and Plumbing - Phoenix AZ,https://www.google.com/maps/place/Goettl+Air+Conditioning+and+Plumbing+-+Phoenix+AZ/data=!4m7!3m6!1s0x872b0eda558e699b:0x6f5c74b4d9c46d5f!8m2!3d33.3773291!4d-111.9833629!16s%2Fg%2F1tdcxk7x!19sChIJm2mOVdoOK4cRX23E2bR0XG8?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOC4wIJJjKgBIAVAD&rclk=1,0x872b0eda558e699b:0x6f5c74b4d9c46d5f,HVAC contractor,"4611 E Baseline Rd, Phoenix, AZ 85042",(602) 517-0039,+16025170039,https://www.goettl.com/location/phoenix-arizona/?utm_source=Google&utm_medium=GBP&utm_campaign=Google.Business.Profile,4.7,14394,"Thursday, Open 24 hours","92G8+WM Phoenix, Arizona",33.3773291,-111.9833629
Desert Diamond Air Cooling & Heating,https://www.google.com/maps/place/Desert+Diamond+Air+Cooling+%26+Heating/data=!4m7!3m6!1s0x872b719aaaaaaaab:0x4c9be99024345fb0!8m2!3d33.6365284!4d-112.1117547!16s%2Fg%2F1260dl0j4!19sChIJq6qqqppxK4cRsF80JJDpm0w?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOC4wIJJjKgBIAVAD&rclk=1,0x872b719aaaaaaaab:0x4c9be99024345fb0,Air conditioning contractor,"16602 N 25th Ave, Phoenix, AZ 85023",(623) 246-2377,+16232462377,https://desertdiamondhvac.com/residential/air-conditioning-repair/?utm_source=google&utm_medium=gmb&utm_campaign=phoenix&se_campaign=Google%20My%20Business%20-%20Clicked%20to%20Website,4.9,2517,"Thursday, Open 24 hours","JVPQ+J7 Phoenix, Arizona",33.6365284,-112.1117547
AZ Perfect Comfort Heating & Cooling,https://www.google.com/maps/place/AZ+Perfect+Comfort+Heating+%26+Cooling/data=!4m7!3m6!1s0x872b6f9445d150a1:0xc93bead1d43c9141!8m2!3d33.6747836!4d-112.0207734!16s%2Fg%2F11bvvzr66_!19sChIJoVDRRZRvK4cRQZE81NHqO8k?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOC4wIJJjKgBIAVAD&rclk=1,0x872b6f9445d150a1:0xc93bead1d43c9141,HVAC contractor,"20650 N 29th Pl Ste 104, Phoenix, AZ 85050",(602) 551-6223,+16025516223,https://azperfectcomfort.com/?utm_source=gbp&utm_medium=organic,4.9,799,"Thursday, 7 AM–5:30 PM","MXFH+WM Phoenix, Arizona",33.6747836,-112.0207734
Ideal Air Conditioning and Insulation,https://www.google.com/maps/place/Ideal+Air+Conditioning+and+Insulation/data=!4m7!3m6!1s0x872b061155555555:0x6ecc37689ac22b30!8m2!3d33.4215926!4d-111.9920184!16s%2Fg%2F1tcwgfqy!19sChIJVVVVVREGK4cRMCvCmmg3zG4?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOC4wIJJjKgBIAVAD&rclk=1,0x872b061155555555:0x6ecc37689ac22b30,Air conditioning contractor,"4127 E University Dr, Phoenix, AZ 85034",(480) 573-7604,+14805737604,https://www.idealairaz.com/?utm_campaign=gmb&utm_medium=organic&utm_source=gmb,4.9,1528,"Thursday, Open 24 hours","C2C5+J5 Phoenix, Arizona",33.4215926,-111.9920184
Scottsdale Air Heating & Cooling,https://www.google.com/maps/place/Scottsdale+Air+Heating+%26+Cooling/data=!4m7!3m6!1s0x872b0cf713453997:0xaeaeda29db0215d1!8m2!3d33.4798141!4d-111.978757!16s%2Fg%2F11c1q8n4mj!19sChIJlzlFE_cMK4cR0RUC2ynarq4?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOC4wIJJjKgBIAVAD&rclk=1,0x872b0cf713453997:0xaeaeda29db0215d1,HVAC contractor,"4747 E Thomas Rd Ste F, Phoenix, AZ 85018",(602) 834-2160,+16028342160,https://scottsdaleair.com/?utm_source=google&utm_medium=gmb&utm_campaign=SDA_ORG_EVER_A_GBP_Listing_PHOENIX,4.9,477,,"F2HC+WF Phoenix, Arizona",33.4798141,-111.978757
Benefit Air Conditioning,https://www.google.com/maps/place/Benefit+Air+Conditioning/data=!4m7!3m6!1s0x872b0c3eea73a24f:0xd2c6a53eb2bda99c!8m2!3d33.494684!4d-112.089865!16s%2Fg%2F1hc3jvz4d!19sChIJT6Jz6j4MK4cRnKm9sj6lxtI?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOC4wIJJjKgBIAVAD&rclk=1,0x872b0c3eea73a24f:0xd2c6a53eb2bda99c,HVAC contractor,"1315 W Indian School Rd, Phoenix, AZ 85013",(602) 840-9229,+16028409229,http://www.benefitair.com/,4.9,756,"Thursday, Open 24 hours","FWV6+V3 Phoenix, Arizona",33.494684,-112.089865
"1st Choice Plumbing, Air & Insulation","https://www.google.com/maps/place/1st+Choice+Plumbing,+Air+%26+Insulation/data=!4m7!3m6!1s0x872b5d6405a2a34d:0x302f10671a9f56c8!8m2!3d33.6970023!4d-112.0961512!16s%2Fg%2F11h35pr8b1!19sChIJTaOiBWRdK4cRyFafGmcQLzA?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOC4wIJJjKgBIAVAD&rclk=1",0x872b5d6405a2a34d:0x302f10671a9f56c8,HVAC contractor,"23309 N 17th Dr Ste 116, Phoenix, AZ 85027",(623) 292-3697,+16232923697,https://1stchoicemechanicalaz.com/air-conditioning-phoenix-az/,4.9,1335,"Thursday, Open 24 hours","MWW3+RG Phoenix, Arizona",33.6970023,-112.0961512
