stream_label,channel_url,channel_name,viewer_count,thumbnail_url,live_status
1 million subscriber celebration 🎉 - happyhappygal,https://www.twitch.tv/happyhappygal,happyhappygal,6.4k viewers,https://static-cdn.jtvnw.net/previews-ttv/live_user_happyhappygal-640x360.jpg,live
watching eval cup 🏆 sonic ball nerf 😕 - aussieantics,https://www.twitch.tv/aussieantics,aussieantics,4.3k viewers,https://static-cdn.jtvnw.net/previews-ttv/live_user_aussieantics-640x360.jpg,live
🎮 fortnite live! warming up & going for victory royales 🏆 - lefty_knocks,https://www.twitch.tv/lefty_knocks,lefty_knocks,23 viewers,https://static-cdn.jtvnw.net/previews-ttv/live_user_lefty_knocks-640x360.jpg,live
new sprite update day wo wo wo! | !vid | code: crackly #epicpartner | !gfuel !paradox - crackly,https://www.twitch.tv/crackly,crackly,383 viewers,https://static-cdn.jtvnw.net/previews-ttv/live_user_crackly-640x360.jpg,live
🏆winning eval cup with one ear!🏆 | !discord !community !updates - higgs,https://www.twitch.tv/higgs,higgs,669 viewers,https://static-cdn.jtvnw.net/previews-ttv/live_user_higgs-640x360.jpg,live
new sprites today omgggg | !socials - sommerset,https://www.twitch.tv/sommerset,sommerset,519 viewers,https://static-cdn.jtvnw.net/previews-ttv/live_user_sommerset-640x360.jpg,live
pro 2v2 !reals tokes vs @curve1x & @abgxlina 🏆 | !sens !twitter !maps - reet,https://www.twitch.tv/reet,reet,658 viewers,https://static-cdn.jtvnw.net/previews-ttv/live_user_reet-640x360.jpg,live
drops on] happyhappy shenanigans w/ @yoyosavagemike 🦁 birthday subathon tomorrow! 🦁 got a new !tattoo🦁use code: ruflesscat #epicpartner #ad🦁 - ruflesscat,https://www.twitch.tv/ruflesscat,ruflesscat,331 viewers,https://static-cdn.jtvnw.net/previews-ttv/live_user_ruflesscat-640x360.jpg,live
🔴 new sprites! 🔴 games w chat! 🔴!join 🔴 !subgoals !crochet - corncobgirl,https://www.twitch.tv/corncobgirl,corncobgirl,23 viewers,https://static-cdn.jtvnw.net/previews-ttv/live_user_corncobgirl-640x360.jpg,live
"watching eu eval cup finals 🏆 no booth for globals, 2 days in prac room 👀 !yt !discord !booth - coachboop",https://www.twitch.tv/coachboop,coachboop,805 viewers,https://static-cdn.jtvnw.net/previews-ttv/live_user_coachboop-640x360.jpg,live
