award_family,award_id,recipient_name,award_type,amount,total_outlays,subsidy_cost,awarding_agency,awarding_sub_agency,start_date,end_date,pop_state,pop_city,pop_zip,naics_code,naics_description,psc_code,psc_description,cfda_number,description,url
contracts,DEAC0494AL85000,LOCKHEED MARTIN CORP,DEFINITIVE CONTRACT,48063737196.35,-4166130.71,None,Department of Energy,Department of Energy,1993-10-15,2017-04-30,NM,None,87185,561210,FACILITIES SUPPORT SERVICES,M181,OPER OF GOVT R&D GOCO FACILITIES,None,None,https://www.usaspending.gov/award/CONT_AWD_DEAC0494AL85000_8900_-NONE-_-NONE-
contracts,N0001917C0001,LOCKHEED MARTIN CORPORATION,DEFINITIVE CONTRACT,35135514910.2,933036846.29,None,Department of Defense,Department of the Navy,2017-11-17,2031-03-31,TX,None,76108,336411,AIRCRAFT MANUFACTURING,1510,"AIRCRAFT, FIXED WING",None,LRIP LOT 12 ADVANCE ACQUISITION CONTRACT,https://www.usaspending.gov/award/CONT_AWD_N0001917C0001_9700_-NONE-_-NONE-
contracts,N0001902C3002,LOCKHEED MARTIN CORPORATION,DEFINITIVE CONTRACT,34173959111.96,29313885.86,None,Department of Defense,Defense Contract Management Agency,2001-10-26,2022-12-16,TX,None,76108,336411,AIRCRAFT MANUFACTURING,AC15,NATIONAL DEFENSE R&D SVCS; DEPARTMENT OF DEFENSE - MILITARY; R&D FACILITIES & MAJ EQUIP,None,200204!008532!1700!AF600 !NAVAL AIR SYSTEMS COMMAND       !N0001902C3002  !A!N! !N!                   !20011026!20120430!008016958!008016958!834951691!N!LOCKHEED MARTIN CORPORATION   !LOCKHEED BLVD             !FORT WORTH          !TX!76108!27000!439!48!FORT WORTH          !TARRANT               !TEXAS     !+000026000000!N!N!018981928201!AC15!RDTE/AIRCRAFT-ENG/MANUF DEVELOP                   !A1A!AIRFRAMES AND SPARES          !2AMA!JAST/JSF                      !336411!E! !3! ! ! ! ! !99990909!B! ! !A! !A!N!R!2!002!N!1A!A!N!Z!  !  !N!C!N! ! ! !A!A!A!A!000!A!C!N! ! ! !Y!    !N00019!0001!,https://www.usaspending.gov/award/CONT_AWD_N0001902C3002_9700_-NONE-_-NONE-
contracts,N0001920C0009,LOCKHEED MARTIN CORPORATION,DEFINITIVE CONTRACT,30140182630.06,0,None,Department of Defense,Defense Contract Management Agency,2019-11-26,2028-06-01,TX,None,76108,336411,AIRCRAFT MANUFACTURING,1510,"AIRCRAFT, FIXED WING",None,THE PURPOSE OF THIS MODIFICATION IS TO AWARD F-35A LRIP 15 USAF  AIRCRAFT* LONG LEAD FUNDING,https://www.usaspending.gov/award/CONT_AWD_N0001920C0009_9700_-NONE-_-NONE-
contracts,N0001923C0003,LOCKHEED MARTIN CORPORATION,DEFINITIVE CONTRACT,24546725067,None,None,Department of Defense,Defense Contract Management Agency,2022-12-23,2031-04-30,TX,None,76108,336411,AIRCRAFT MANUFACTURING,1510,"AIRCRAFT, FIXED WING",None,"THE PURPOSE OF THIS CONTRACT IS TO AWARD LONG LEAD FUNDING FOR F-35A, F-35B, AND F-35C AIRCRAFT FOR U.S. SERVICES, NON-DOD PARTNERS, AND FMS CUSTOMERS",https://www.usaspending.gov/award/CONT_AWD_N0001923C0003_9700_-NONE-_-NONE-
contracts,DEAC0584OR21400,"LOCKHEED MARTIN SERVICES, LLC",DEFINITIVE CONTRACT,20646113720.09,None,None,Department of Energy,Department of Energy,1984-04-30,2027-02-28,TN,None,37830,561210,FACILITIES SUPPORT SERVICES,M181,OPER OF GOVT R&D GOCO FACILITIES,None,MANAGEMENT AND OPERATION OF Y-12 PLANT AND OTHER PROGRAMS,https://www.usaspending.gov/award/CONT_AWD_DEAC0584OR21400_8900_-NONE-_-NONE-
contracts,NNJ06TA25C,LOCKHEED MARTIN CORP,DEFINITIVE CONTRACT,15578433007.93,3582959160.65,None,National Aeronautics and Space Administration,National Aeronautics and Space Administration,2006-09-06,2027-04-15,CO,None,80125,541710,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES",AR33,R&D- SPACE: FLIGHT (ADVANCED DEVELOPMENT),None,"TAS::80 0124::TAS DESIGN, DEVELOPMENT, TEST&EVALUATION OF PROJECT ORION",https://www.usaspending.gov/award/CONT_AWD_NNJ06TA25C_8000_-NONE-_-NONE-
contracts,N0001916C0033,LOCKHEED MARTIN CORPORATION,DEFINITIVE CONTRACT,12269145508.23,116514229.68,None,Department of Defense,Defense Contract Management Agency,2015-12-21,2031-03-31,TX,None,76108,336411,AIRCRAFT MANUFACTURING,1510,"AIRCRAFT, FIXED WING",None,LRIP 11 AAC,https://www.usaspending.gov/award/CONT_AWD_N0001916C0033_9700_-NONE-_-NONE-
contracts,N0001915C0003,LOCKHEED MARTIN CORPORATION,DEFINITIVE CONTRACT,10550927664.07,32570463.16,None,Department of Defense,Defense Contract Management Agency,2015-05-26,2032-12-31,TX,None,76106,336411,AIRCRAFT MANUFACTURING,1510,"AIRCRAFT, FIXED WING",None,LRIP 10 AAC,https://www.usaspending.gov/award/CONT_AWD_N0001915C0003_9700_-NONE-_-NONE-
contracts,W31P4Q20C0023,LOCKHEED MARTIN CORPORATION,DEFINITIVE CONTRACT,10478694385.9,0,None,Department of Defense,Department of the Army,2020-04-30,2033-09-30,TX,None,75051,336414,GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING,1410,GUIDED MISSILES,None,THE CONTRACT AWARD IS FOR THE FY21/FY22/FY23 BASE AND OPTION PRICING FOR PHASE ARRAY TRACKING RADAR TO INTERCEPT ON TARGET (PATRIOT) ADVANCED CAPABILITY-3 (PAC-3) PRODUCTION REQUIREMENTS FOR THE UNITED STATES (US) AND FOREIGN MILITARY SALES (FMS),https://www.usaspending.gov/award/CONT_AWD_W31P4Q20C0023_9700_-NONE-_-NONE-
